受付番号,受付日,発行日,依頼者名,部,課,担当者,品番,品名,色,試験基準,製品検査,生地検査,付属,ロット
Q2726005695,2026-04-27,2026-05-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,70641RR ,パジャマ,54(1)、54(1)リブ、54(2)、54(2)リブ、54(3)、緑ひも、緑把手,しまむら,合格,合格,,
Q2726005693,2026-04-27,2026-05-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,70643KR ,パジャマ,14(1)、14(1)リブ、14(2)、14(2)リブ、14(3)、白シックテープ、ベージュひも、ベージュ把手,しまむら,合格,合格,,
Q2726005686,2026-04-27,2026-04-29,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,4163DHA ,パジャマ,03、82,しまむら,合格,,,
Q2726005707,2026-04-27,2026-04-29,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),キッズカジュアル,,キッズカジュアル,G5639UR ,シャツ,55グリーン,しまむら,,合格,,
Q2726005703,2026-04-27,2026-04-30,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),キッズカジュアル,,キッズカジュアル,F5633UR ,T SHIRT,65,しまむら,,合格,,
Q2726005685,2026-04-27,2026-04-29,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,4063EHA ,パジャマ,03、63、N3、N8,しまむら,合格,,,
Q2726005684,2026-04-27,2026-04-29,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,4063FHA ,パジャマ,N3、N9,しまむら,合格,,,
Q2726005775,2026-04-27,2026-04-29,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9N622DR ,タンクトップ,14製品、63製品、N9製品、サックスゴム、ブラックゴム、ベージュゴム,しまむら,合格,合格,,
61526007939,2026-04-27,2026-04-29,??浅叶有限公司,岡山,,高木,2880290(1Z624DA) ,,83パープル、N3グレー、製品,しまむら,合格,合格,,
61526007943,2026-04-27,2026-04-29,??浅叶有限公司,岡山,,豊福,2828453(1Z623DA) ,チャーム付シュシュ,15ブラウン、55グリーン,しまむら,合格,合格,,
Q2726005675,2026-04-27,2026-04-29,青&#23707;吉利基&#19994;&#36152;易公司,紳士ナイティー,,紳士ナイティー,12631PR ,パジャマ,63本体、63製品、白シックテープ、紺刺繍、紺パイピング,しまむら,合格,合格,,
