"品番","納入先","合格色","不合格色","工場名","発行番号","生地合否判定","合否判定","受付日","製品合否判定","部署","共有メモ","共有チェック"
"FR0001F/ACY11957","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-008892","合格","合格","2026/04/09","合格(追試:合格)〈コメント有〉","","","0"
"MB1024C/SM220527","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-008894","合格","合格","2026/04/09","合格(追試:合格)","","","0"
"X563DER/X4621ER/X4629RR/X6624RR","㈱しまむら","3","","","DL-26-008905","合格","合格","2026/04/09","","","","0"
"66632YR","㈱しまむら","2","","","DL-26-009009","合格","合格","2026/04/10","","","","0"
"ER632YR/ER630EZ/ER630LZ/ER630YZ/ER631LZ/ER631YZ/ER630BZ/ER631BZ/ER632BZ/ER633BZ/ER630LR/EM631BR/ER631BR/ER630BR","㈱しまむら","11","","","DL-26-009165","合格","合格","2026/04/10","","","","0"
"X5636RR","㈱しまむら","","","","DL-26-008394","","合格","2026/04/02","合格","","","0"
"X4628RR","㈱しまむら","2","","","DL-26-008402","合格","合格","2026/04/02","合格","","","0"
"A563ERR/A563FRR","㈱しまむら","4","","","DL-26-008638","合格","合格","2026/04/07","","","","0"
"C4630MA(リピート)","㈱しまむら","4","","","DL-26-008673-1","合格","合格","2026/04/08","","","","0"
"C563RMA/C563QMA","㈱しまむら","8","","","DL-26-008678-1","合格","合格","2026/04/08","","","","0"
"A563APR","㈱しまむら","2","","","DL-26-008716","合格","合格","2026/04/08","合格(追試:合格)","","","0"
"Z4630QR","㈱しまむら","2","","","DL-26-008777-1","合格","合格","2026/04/08","","","","0"
"X5636RR/X4628RR","㈱しまむら","3","","","DL-26-008783-1","合格","合格","2026/04/08","","","","0"
"42630ZR","㈱しまむら","1","","","DL-26-008791","合格","合格","2026/04/09","","","","0"
"EM630MT/EM631YR/EM630YR/EM630BZ/EM631BZ/EM630EZ/EM630YZ/EM631YZ/EM630LZ/EM631LZ/EM630BR/EM630ER/EM630LR/EM631ER/EM632YR/EM633YR","㈱しまむら","13","","","DL-26-009008","合格","合格","2026/04/09","","","","0"
"4063CHA","㈱しまむら","1","","","DL-26-008546","合格","合格","2026/04/07","合格(追試:合格)","","","0"
"40630LR","㈱しまむら","","","","DL-26-008548","","合格","2026/04/07","合格(追試:合格)","","","0"
"A563APR/A563EZR/A563FZR/A563GZR/A563DZR/A563MER/A563NER","㈱しまむら","9","","","DL-26-008555","合格","合格","2026/04/07","","","","0"
"X5633ER","㈱しまむら","","","","DL-26-008603","","合格","2026/04/07","合格(追試:合格)","","","0"
"X4620ER","㈱しまむら","1","","","DL-26-008613","合格","合格","2026/04/07","合格(追試:合格)","","","0"
"EM631ER","㈱しまむら","2","","","DL-26-008615","合格","合格","2026/04/07","合格","","","0"
"EM630BR","㈱しまむら","2","","","DL-26-008619","合格","合格","2026/04/07","合格","","","0"
"EM630LR","㈱しまむら","2","","","DL-26-008624","合格","合格","2026/04/07","合格","","","0"
"X5631MR A5620DR A5620WR A5623PR A5623RR A5624ER A5624RR A5625ER A5625RR A5626ER/A5626RR A5627ER/A5621MR  A5622RR/A5623ER C563MMA C563NMA KING C563NMA C5630DA  C5630HA","㈱しまむら","12","","","DL-26-008906","合格","合格","2026/04/08","","","","0"
"X5636ER","㈱しまむら","2","","","DL-26-008327","合格","合格","2026/04/02","合格(追試:合格)","","","0"
"X4631ER","㈱しまむら","1","","","DL-26-008435","合格","合格","2026/04/03","合格(追試:合格)","","","0"
"X4630ER","㈱しまむら","1","","","DL-26-008446","合格","合格","2026/04/03","合格(追試:合格)","","","0"
"Z5630QR","㈱しまむら","","","","DL-26-008481","","合格","2026/04/03","合格〈コメント有〉","","","0"
